발생량_평,기준일,1인당 쓰레기양,급식인원수,칼로리_평균,탄_평균,단_평균,지_평균,"요리명_양념소스, 음료 제외__basket",핵심식재료_basket,요일_블록,최종_잔반그룹
215,20251205,0.3134,686,717.7,103.4,37.35,16.55,"보리밥, 맑은콩나물국, 진미채쪽파무침, 미소허니닭갈비, 배추김치, 현미밥, 북어국(육), 오이양파무침, 바베큐폭찹스테이크, 배추김치, 귤","콩나물, 진미채, 쪽파, 닭고기, 북어, 오이, 양파, 돼지고기, 귤",Friday,NORMAL
190,20251208,0.277,686,812.1,121.3,27.0,24.5,"차조밥, 근대된장국, 마파두부, 찹쌀꿔바로우, 배추김치, 한입아이스홍시","근대, 두부, 돼지고기, 홍시",Monday,LOW
205,20251210,0.2988,686,954.3,134.45,31.15,31.45,"수수밥, 꽃게탕, 상추겉절이, 대패삼겹살볶음(전), 무생채, 바람떡, 자율밥, 베트남쌀국수, 방울토마토카프레제샐러드, 야채춘권, 배추김치","꽃게, 삼겹살, 무, 떡, 쌀국수, 방울토마토, 치즈, 야채",Wednesday,NORMAL
205,20251212,0.2988,686,759.7,96.7,35.55,25.0,"현미밥, 두부김치국, 요거과일샐러드, 치즈블럭돈가스, 깍두기, 우유모닝빵/딸기잼, 잡곡밥, 감자고추장찌개, 시금치나물무침, 장각구이, 배추김치, 감귤푸딩","두부, 김치, 요거트, 과일, 치즈, 돼지고기, 우유, 모닝빵, 딸기잼, 감자, 시금치, 닭다리, 감귤, 푸딩",Friday,LOW
240,20251215,0.3499,686,755.1,98.9,29.6,26.7,"귀리밥, 맑은순두부찌개, 도토리묵무침, 흑초오리불고기, 총각김치, 파인애플(40g)","순두부, 도토리묵, 오리고기, 파인애플",Monday,NORMAL
290,20251217,0.4227,686,850.7,119.2,40.95,24.7,"잡곡밥, 조랭이떡국, 간장숯불불고기, 배추김치, 양배추찜, 약과, 주꾸미덮밥(육), 얼갈이된장국(육), 백김치, 매실사과주스, 고르곤졸라또띠아피자","떡, 소고기, 양배추, 약과, 주꾸미, 얼갈이배추, 매실, 사과, 고르곤졸라치즈, 또띠아",Wednesday,HIGH
260,20251219,0.379,686,716.9,120.5,28.6,13.1,"귀리밥, 꼬지어묵국, 밀떡볶이, 알감자버터구이, 깍두기, 사과부각, 흑미밥, 실곤약야채무침, 참치김치찌개, 허브치킨플레로티/또띠아, 깍두기, 딸기요플레","어묵, 떡, 알감자, 사과, 곤약, 야채, 참치, 김치, 닭고기, 또띠아, 딸기, 요거트",Friday,HIGH
200,20251222,0.2915,686,774.1,106.2,37.3,21.7,"기장밥(전), 들깨미역국, 우리밀팥찐빵, 닭볶음탕(육), 오미산적, 배추김치","들깨, 미역, 팥, 찐빵, 닭고기, 소고기",Monday,LOW
235,20251224,0.3426,686,860.15,102.45,43.05,30.35,"잡곡밥, 닭곰탕大(육), 돼지갈비찜(육), 청경채무침, 배추김치, 골드키위, 달걀볶음밥, 자율밥, 유부장국, 바베큐폭립, 웨지감자, 나박김치, 우리밀키리쉬케이크(체리생크림케이크)","닭고기, 돼지갈비, 청경채, 키위, 달걀, 유부, 돼지갈비, 감자, 케이크",Wednesday,NORMAL
180,20251226,0.2624,686,603.7,111.1,19.5,6.6,"잡곡밥, 볶음우동, 얼큰콩나물국, 삼치구이, 양념깻잎지","우동, 야채, 콩나물, 삼치",Friday,LOW
230,20251229,0.3353,686,796.1,133.2,26.8,16.6,"찹쌀밥, 우동국물(육), 미나리숙주무침(육), 짜장찜닭, 총각김치, 딸기찹쌀떡","우동, 미나리, 숙주, 닭고기, 딸기, 떡",Monday,NORMAL
220,20251231,0.3207,686,1118.3,135.6,35.3,46.0,"보리밥, 양송이크림스프, 감바스펜네파스타, 통목살스테이크/파인애플, 채소피클, 바게트, 베이컨&김치볶음밥, 자율밥, 계란파국, 유린기, 무생채, 딸기","양송이버섯, 새우, 펜네파스타, 돼지목살, 파인애플, 바게트, 베이컨, 김치, 계란, 대파, 닭고기, 무, 딸기",Wednesday,NORMAL
